Country Name;Country Code;Indicator Name;Indicator Code;1960;1961;1962;1963;1964;1965;1966;1967;1968;1969;1970;1971;1972;1973;1974;1975;1976;1977;1978;1979;1980;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;
Angola;AGO;Articles de journaux scientifiques et techniques;IP.JRN.ARTC.SC;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;7.17;10.58;15.13;5.89;9.23;10.04;12.4;10.16;10.85;13.78;14.68;17.78;22.38;23.85;33.48;31.59;39.97;55.5;30.12;;;
Angola;AGO;Dépenses en recherche et développement (% du PIB);GB.XPD.RSDV.GD.ZS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.03229;;;;;
Angola;AGO;Commissions pour usage de la propriété intellectuelle, rentrées (BDP, $ US courants);BX.GSR.ROYL.CD;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;0;0;0;0;0;0;14100000;18300000;7421000;16587000;5960000;9480000;2790000;15750000;4420000;0;0;226800000;49430571.11;1339588441.64;12021694.12;12000000;;;;16332320.86;18843635.45;21944072.217;17490960;10997630;11569560;8226880;516010;0;
Angola;AGO;Commissions pour usage de la propriété intellectuelle, paiements (BDP, $ US courants);BM.GSR.ROYL.CD;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;290000;1170000;1660000;5630000;430000;0;0;2495000;3378446.38;1366548.48;1173129.46;470000;20000;6378100;3185000;224315044.600047;212220137.27;252852819.11;264702200;212229720;221726875.72;246614994.79;127168951.47;129608227.29;
Albanie;ALB;Exportations de haute technologie (% des exportations de biens manufacturés);TX.VAL.TECH.MF.ZS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1.3281933725167;1.46451719828648;1.01687289075396;0.922637035057688;0.890238031752596;0.25723481105228;1.63419038500233;0.784313358509228;0.0884566029522286;0.0447019063283983;0.128427556644885;0.356600594359692;
Albanie;ALB;Exportations de haute technologie ($ US courants);TX.VAL.TECH.CD;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;10128935;14074208;11890517;10014580;10843586;1960836;16607486;10199913;1119016;591717;1753203;5055767;
Albanie;ALB;Techniciens (pour un million de personnes);SP.POP.TECH.RD.P6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;39.96433;;;;;;;;;;;;;
Albanie;ALB;Chercheurs en recherche et développement (pour un million de personnes);SP.POP.SCIE.RD.P6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;155.52783;;;;;;;;;;;;;
Albanie;ALB;Demandes de marque déposée, total;IP.TMK.TOTL;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;34;1258;2094;2416;2364;2316;2534;2524;2224;2344;2710;3209;3460;3671;4024;3456;3365;3396;;2941;3012;3030;3285;3497;3713;;;
Albanie;ALB;Demandes de marques de commerce, résidents directs;IP.TMK.RESD;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;4;26;36;27;17;32;54;106;132;128;147;186;148;216;213;286;274;;377;420;509;662;684;917;788;;
Albanie;ALB;Demandes de marques de commerce, non résidents directs;IP.TMK.NRES;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;33;1254;2068;2380;2337;2299;2502;2470;2118;2212;2582;3062;3274;3523;3808;3243;3079;3122;;2564;2592;2521;2623;2814;2802;2544;;
Albanie;ALB;Demandes de brevet, résidents;IP.PAT.RESD;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3;;;10;14;20;16;15;4;;
Albanie;ALB;Demandes de brevet, non résidents;IP.PAT.NRES;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;9;;;;120;238;391;;386;;;;361;;8;;4;3;5;5;8;3;1;;
Albanie;ALB;Articles de journaux scientifiques et techniques;IP.JRN.ARTC.SC;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;22.34;18.71;24.53;23.82;17.91;24.48;27.22;40.88;51.85;70.35;137.23;146.82;165.75;162.65;180.39;177.8;185.87;149.54;180.36;;;
Albanie;ALB;Dépenses en recherche et développement (% du PIB);GB.XPD.RSDV.GD.ZS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.08757;0.15412;;;;;;;;;;;;;
Albanie;ALB;Commissions pour usage de la propriété intellectuelle, rentrées (BDP, $ US courants);BX.GSR.ROYL.CD;;;;;;;;;;;;;;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;5321983.91;15410498.39;505314.458021101;723627.416065902;7530000;40441133.4106947;17098527.1570287;739036.184704184;13339406.1051136;1650606.39559554;1185804.07535828;740461.814541586;1945283.40574265;2703932.26362697;10991466.0499114;14949446.678663;17149047.0587121;15865804.9184835;
